0127,0.4285714286
0128,0.2857142857
0129,0.1428571429
0130,0.1428571429
0131,0.1428571429
0201,0.1428571429
0202,0.1428571429
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0.1428571429
0211,0.4285714286
0212,1.571428571
0213,2.285714286
0214,2.285714286
0215,2.714285714
0216,3.142857143
0217,3
0218,3.142857143
0219,2.142857143
0220,1.428571429
0221,1.857142857
0222,1.428571429
0223,1.428571429
0224,1.571428571
0225,1.142857143
0226,1.142857143
0227,1.428571429
0228,1
0229,1.142857143
0301,1.285714286
0302,2.285714286
0303,3.142857143
0304,3.857142857
0305,3.571428571
0306,3.571428571
0307,3.857142857
0308,4.142857143
0309,3.285714286
0310,2.714285714
0311,3.285714286
0312,3.714285714
0313,3.714285714
0314,5
0315,5.428571429
0316,6.142857143
0317,7.428571429
0318,7
0319,6.857142857
0320,9.142857143
0321,9.857142857
0322,14.42857143
0323,20.14285714
0324,24.28571429
0325,32.28571429
0326,41.71428571
0327,41.28571429
0328,50
0329,53.57142857
0330,60.71428571
0331,67.71428571
0401,75.28571429
0402,86
0403,96
0404,96.14285714
0405,107.2857143
0406,118.8571429
0407,132.8571429
0408,144.4285714
0409,147.7142857
0410,148.8571429
0411,160.4285714
0412,157.8571429
0413,153.5714286
0414,155.5714286
0415,153.2857143
0416,144.8571429
0417,146.4285714
0418,141.1428571
0419,142
0420,140
0421,134.2857143
0422,123.1428571
0423,118.1428571
0424,109.1428571
0425,107.5714286
0426,95.42857143
0427,82.85714286
0428,83.42857143
0429,91.28571429
0430,94
0501,100.8571429
0502,93.14285714
0503,91.85714286
0504,88.57142857
0505,70.57142857
0506,53.14285714
